log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synaptic Saliency,Layer 1 Hidden Covariance,Layer 2 Hidden Covariance,Layer 3 Hidden Covariance
log_stats_model_1010721_2020-04-24_00-50-38_999979393.json,4.75028651,115.6174053,6.85321479,431.2909275,12676220,-71.10383844,0.502865259,55.91068761,0.999522381,2526701631,0.065840631,264374.375,-70171.82706,-549411.909,-705069.759
log_stats_model_1010723_2020-04-17_17-29-31_999969077.json,4.842202788,126.748244,6.98582195,346.6063078,1451231,-71.1440389,0.500035046,6974.010934,0.999992038,1.44E+17,0.062552471,825264.625,-2060437.839,-17866881.73,-27870868.44
log_stats_model_1010724_2020-04-14_06-58-37_999916727.json,4.770169156,117.9391904,6.881899386,468.1306712,12508609,-71.07826626,0.502440109,50.64318707,0.999707253,5588580205,0.065007892,361122.2188,-21519.20128,-229412.7944,-225345.5566
log_stats_model_1010725_2020-04-24_22-25-03_999906512.json,6.217021461,501.2081384,8.96926603,421.266131,5464234.5,-71.07995704,0.500762236,200.6676921,0.9999036,9.11E+11,0.063242233,233810.7656,-430178.4666,-9989158.463,-19296451.62
log_stats_model_1010726_2020-04-15_06-42-30_999948967.json,5.089361394,162.2861921,7.342396445,455.3626499,20692810,-71.13142253,0.500000029,178268.7803,0.999999988,5.63E+25,0.062500176,835252.5,-522915.4851,-1222351.062,-338709.5281
log_stats_model_1010728_2020-04-16_09-27-35_999982614.json,6.318852397,554.9357808,9.116177017,527.9551459,1583260.375,-71.1440389,0.500000285,401076.965,0.999999879,2.02E+23,0.062507268,97934.89063,-5964.372548,-15295.44993,-17684.55963
log_stats_model_1010731_2020-04-11_08-00-53_999912541.json,6.267515905,527.1662189,9.042114114,528.0512468,2368973.5,-71.10383844,0.500000442,343130.7056,0.999999836,7.69E+22,0.062508894,99133.27344,-9965.016061,-82298.7221,-631485.5853
log_stats_model_1010733_2020-04-16_03-28-08_999950691.json,6.464519612,641.9559013,9.326330386,486.246319,3027776.75,-71.08292706,0.500000462,345966.6144,0.999999816,6.22E+22,0.062509714,752139.5,-3394355.117,-33399789.54,-37537719.4
log_stats_model_1010734_2020-04-23_04-35-17_999953279.json,4.71702235,111.8347516,6.805224751,531.6083031,1430975.875,-71.09812844,0.514128079,4.061649494,0.998438422,22506358.62,0.072433328,62134.42969,-3553.827244,-13617.78067,-15524.59563
log_stats_model_1010735_2020-04-21_02-59-09_999901941.json,6.232637572,509.0964929,8.991795317,308.6769801,8232255.5,-71.1297057,0.500000183,344794.8714,0.999999936,2.81E+24,0.062501064,246196.375,-2320672.582,-36628141.88,-37387545.24
log_stats_model_1010736_2020-04-18_17-30-53_999932646.json,4.795663185,120.9845904,6.918679495,519.8042384,259589.0938,-71.1440389,0.51415875,4.859987155,0.998089801,21806125.04,0.072716668,35643.54297,-3181.046151,-5573.281006,-9544.010483
log_stats_model_1010737_2020-04-18_07-57-51_999935504.json,5.280179811,196.4051879,7.617689228,499.7465067,17100682,-71.09644892,0.500009685,19016.05483,0.999998227,2.22E+19,0.062514858,500149.9063,-3646724.858,-3898230.931,-300158.9344
log_stats_model_1010738_2020-04-11_16-53-43_999943131.json,4.794483963,120.8420067,6.916978236,534.4228687,1772961.625,-71.1297057,0.501906215,71.10188798,0.99974392,24667427636,0.063955048,85670.0625,-8960.192762,-18845.73572,-21051.97787
log_stats_model_1010739_2020-04-21_14-11-23_999915053.json,4.603408665,99.82400299,6.641314853,534.2449857,649229,-71.08292706,0.515563216,2.989188856,0.998324079,18115364.53,0.073764965,46802.86719,-1450.915927,-1715.65383,-2176.280957
log_stats_model_1010740_2020-04-16_05-11-37_999945278.json,5.181056939,177.8707102,7.474685153,395.9389196,6732495,-71.08996444,0.501512269,103.1925373,0.999780347,33304251069,0.06427109,312127.4375,-7032018.017,-19891177.55,-8585193.231
